,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_clean,date,minutes_after_sunset,minutes_after_rat_arrival
41,2018-01-10 23:34:00,4.0,,2018-01-10 23:32:00,2018-01-10 23:34:00,113,0,0,1,2018-01-10 16:54:00,6.673888889,0,Unknown,2018-01-10,400.0,1.8833333333333333
42,2018-01-10 04:12:00,1.0,rat,2018-01-10 04:07:00,2018-01-10 04:15:00,306,1,0,1,2018-01-09 16:53:00,11.32222222,0,rat,2018-01-10,679.0,5.1
43,2018-01-28 19:56:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,9,0,1,1,2018-01-28 17:10:00,2.770833333,0,fast,2018-01-28,166.0,0.15
44,2018-01-28 20:03:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,456,1,0,1,2018-01-28 17:10:00,2.895,0,rat,2018-01-28,173.0,7.6
45,2018-01-28 20:04:00,0.035319187,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,528,1,0,1,2018-01-28 17:10:00,2.915,0,rat,2018-01-28,174.0,8.8
46,2018-01-28 20:05:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,534,1,0,1,2018-01-28 17:10:00,2.916666667,0,rat,2018-01-28,175.0,8.9
47,2018-01-28 20:05:00,7.0,pick_rat,2018-01-28 19:56:00,2018-01-28 20:10:00,545,1,1,1,2018-01-28 17:10:00,2.919722222,0,Other,2018-01-28,175.0,9.083333333333334
48,2018-01-28 20:05:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,551,0,1,1,2018-01-28 17:10:00,2.921388889,0,fast,2018-01-28,175.0,9.183333333333334
49,2018-01-28 20:05:00,0.034803066,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,569,0,1,1,2018-01-28 17:10:00,2.926388889,0,fast,2018-01-28,175.0,9.483333333333333
50,2018-01-28 20:05:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,583,1,0,1,2018-01-28 17:10:00,2.930277778,0,rat,2018-01-28,175.0,9.716666666666667
51,2018-01-28 20:05:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,589,0,1,1,2018-01-28 17:10:00,2.931944444,0,fast,2018-01-28,175.0,9.816666666666666
52,2018-01-28 20:06:00,2.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,627,0,1,1,2018-01-28 17:10:00,2.9425,0,fast,2018-01-28,176.0,10.45
53,2018-01-28 20:06:00,1.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,631,0,1,1,2018-01-28 17:10:00,2.943611111,0,fast,2018-01-28,176.0,10.516666666666667
54,2018-01-28 20:06:00,4.0,fast,2018-01-28 19:56:00,2018-01-28 20:10:00,642,0,1,1,2018-01-28 17:10:00,2.946666667,0,fast,2018-01-28,176.0,10.7
55,2018-01-28 20:08:00,4.0,pick,2018-01-28 19:56:00,2018-01-28 20:10:00,720,0,1,1,2018-01-28 17:10:00,2.968333333,0,pick,2018-01-28,178.0,12.0
56,2018-01-28 20:09:00,3.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,824,1,0,1,2018-01-28 17:10:00,2.997222222,0,rat,2018-01-28,179.0,13.733333333333333
57,2018-01-29 01:32:00,22.0,pick,2018-01-29 01:29:00,2018-01-29 01:33:00,225,0,1,1,2018-01-28 17:10:00,8.381666667,0,pick,2018-01-29,502.0,3.75
58,2018-01-28 19:58:00,1.0,rat,2018-01-28 19:56:00,2018-01-28 20:10:00,162,1,0,1,2018-01-28 17:10:00,2.813333333,0,rat,2018-01-28,168.0,2.7
59,2018-02-20 01:49:00,2.0,rat,2018-02-20 01:47:00,2018-02-20 01:50:00,151,1,0,2,2018-02-19 17:30:00,8.333055556,0,rat,2018-02-20,499.0,2.5166666666666666
60,2018-02-20 03:10:00,1.0,rat,2018-02-20 03:10:00,2018-02-20 03:11:00,17,1,0,2,2018-02-19 17:30:00,9.676111111,0,rat,2018-02-20,580.0,0.2833333333333333
61,2018-02-20 02:12:00,3.0,bat,2018-02-20 02:10:00,2018-02-20 02:13:00,116,1,0,2,2018-02-19 17:30:00,8.713055556,0,bat,2018-02-20,522.0,1.9333333333333333
62,2018-02-10 00:43:00,4.0,rat,2018-02-10 00:43:00,2018-02-10 00:45:00,22,1,0,2,2018-02-09 17:21:00,7.375277778,0,rat,2018-02-10,442.0,0.36666666666666664
63,2018-02-10 00:44:00,3.0,fast,2018-02-10 00:43:00,2018-02-10 00:45:00,96,0,1,2,2018-02-09 17:21:00,7.395833333,0,fast,2018-02-10,443.0,1.6
64,2018-02-10 00:49:00,0.089216347,fast,2018-02-10 00:49:00,2018-02-10 00:51:00,18,0,1,2,2018-02-09 17:21:00,7.471944444,0,fast,2018-02-10,448.0,0.3
65,2018-02-10 00:49:00,2.0,rat,2018-02-10 00:49:00,2018-02-10 00:51:00,56,1,0,2,2018-02-09 17:21:00,7.4825,0,rat,2018-02-10,448.0,0.9333333333333333
66,2018-02-10 00:50:00,0.041390374,fast,2018-02-10 00:49:00,2018-02-10 00:51:00,65,0,1,2,2018-02-09 17:21:00,7.485,0,fast,2018-02-10,449.0,1.0833333333333333
67,2018-02-10 00:50:00,0.090143902,rat,2018-02-10 00:49:00,2018-02-10 00:51:00,81,1,0,2,2018-02-09 17:21:00,7.489444444,0,rat,2018-02-10,449.0,1.35
68,2018-02-10 00:50:00,20.0,both,2018-02-10 00:49:00,2018-02-10 00:51:00,102,0,0,2,2018-02-09 17:21:00,7.495277778,0,Other,2018-02-10,449.0,1.7
